date, pm25, pm10
2024/10/25, 89, 39
2024/10/26, 88, 42
2024/10/27, 91, 40
2024/10/28, 82, 43
2024/10/29, 83, 46
2024/10/30, 96, 53
2024/10/31, 125, 50
2024/11/1, 126, 50
2024/11/2, 152, 
2024/11/3, 143, 
2024/11/4, 87, 
2024/11/5, 47, 
2024/11/6, 69, 
2024/11/7, 76, 
2024/11/8, 87, 
2024/11/11, 98, 
2024/11/12, 124, 57
2024/11/13, 133, 57
2024/11/14, 132, 45
2024/11/15, 114, 37
2024/11/16, 99, 31
2024/11/17, 80, 27
2024/11/18, 76, 28
2024/11/19, 70, 22
2024/11/20, 63, 19
2024/11/21, 57, 21
2024/11/22, 60, 21
2024/11/23, 66, 20
2024/11/24, 59, 23
2024/11/25, 64, 28
2024/11/26, 83, 30
2024/11/27, 89, 24
2024/11/28, 75, 23
2024/11/29, 68, 19
2024/11/30, 60, 16
2024/12/1, 53, 18
2024/12/2, 59, 
2024/12/3, 125, 
2024/12/4, 125, 
2024/12/5, 125, 
2024/12/6, 149, 
2024/12/7, 162, 
2024/12/8, 161, 
2024/12/9, 164, 
2024/12/10, 146, 
2024/12/11, 151, 
2024/12/12, 155, 
2024/12/13, 145, 
2024/12/14, 143, 
2024/7/1, 51, 15
2024/7/2, 47, 25
2024/7/3, 55, 19
2024/7/4, 50, 16
2024/7/5, 50, 11
2024/7/6, 40, 16
2024/7/7, 48, 22
2024/7/8, 55, 30
2024/7/9, 71, 25
2024/7/10, 69, 29
2024/7/11, 76, 14
2024/7/12, 43, 19
2024/7/13, 50, 21
2024/7/14, 56, 30
2024/7/15, 66, 20
2024/7/16, 54, 20
2024/7/17, 53, 18
2024/7/18, 51, 17
2024/7/19, 45, 25
2024/7/20, 57, 24
2024/7/21, 61, 20
2024/7/22, 50, 13
2024/7/23, 34, 11
2024/7/24, 33, 16
2024/7/25, 42, 17
2024/7/26, 44, 11
2024/7/27, 47, 17
2024/7/28, 48, 19
2024/7/29, 45, 16
2024/7/30, 50, 15
2024/7/31, 33, 16
2024/8/1, 45, 20
2024/8/2, 46, 21
2024/8/3, 40, 21
2024/8/4, 38, 21
2024/8/5, 51, 11
2024/8/6, 42, 7
2024/8/7, 29, 
2024/8/12, 61, 25
2024/8/13, 61, 20
2024/8/14, 48, 16
2024/8/15, 43, 22
2024/8/16, 46, 14
2024/8/17, 41, 14
2024/8/18, 36, 13
2024/8/19, 38, 11
2024/8/20, 37, 12
2024/8/21, 45, 14
2024/8/22, 42, 17
2024/8/23, 49, 19
2024/8/24, 51, 20
2024/8/25, 47, 22
2024/8/26, 59, 22
2024/8/27, 52, 31
2024/8/28, 63, 21
2024/8/29, 56, 26
2024/8/30, 50, 27
2024/8/31, 59, 15
2024/9/1, 50, 25
2024/9/2, 58, 15
2024/9/3, 42, 18
2024/9/4, 43, 
2024/9/5, 56, 
2024/9/6, 25, 
2024/9/7, 31, 
2024/9/8, 41, 
2024/9/9, 49, 
2024/9/10, 63, 
2024/9/11, 54, 
2024/9/12, 49, 
2024/9/13, 51, 
2024/9/14, 52, 
2024/9/15, 36, 
2024/9/16, 41, 
2024/9/17, 57, 
2024/9/18, 63, 
2024/9/19, 61, 42
2024/9/20, 80, 41
2024/9/21, 81, 52
2024/9/22, 90, 53
2024/9/23, 106, 43
2024/9/24, 100, 27
2024/9/25, 71, 21
2024/9/26, 61, 9
2024/9/27, 38, 14
2024/9/28, 49, 27
2024/9/29, 73, 25
2024/9/30, 63, 27
2024/4/1, 103, 98
2024/4/2, 138, 106
2024/4/3, 149, 140
2024/4/4, 153, 119
2024/4/5, 153, 121
2024/4/6, 155, 115
2024/4/7, 160, 91
2024/4/8, 166, 
2024/4/18, 155, 159
2024/4/19, 164, 225
2024/4/20, 159, 188
2024/4/21, 158, 209
2024/4/22, 161, 144
2024/4/23, 142, 147
2024/4/24, 158, 189
2024/4/25, 165, 231
2024/4/26, 176, 194
2024/4/27, 170, 172
2024/4/28, 152, 192
2024/4/29, 164, 207
2024/4/30, 164, 174
2024/5/1, 150, 169
2024/5/2, 149, 185
2024/5/3, 174, 224
2024/5/4, 174, 169
2024/5/5, 163, 120
2024/5/6, 149, 58
2024/5/7, 98, 45
2024/5/8, 93, 52
2024/5/9, 97, 48
2024/5/10, 89, 63
2024/5/11, 106, 42
2024/5/12, 95, 52
2024/5/13, 92, 60
2024/5/14, 107, 70
2024/5/15, 108, 71
2024/5/16, 89, 110
2024/5/17, 133, 125
2024/5/18, 154, 84
2024/5/19, 142, 61
2024/5/20, 122, 60
2024/5/21, 95, 45
2024/5/22, 85, 57
2024/5/23, 89, 64
2024/5/24, 103, 50
2024/5/25, 95, 49
2024/5/26, 97, 48
2024/5/27, 82, 40
2024/5/28, 80, 70
2024/5/29, 110, 85
2024/5/30, 112, 69
2024/5/31, 97, 105
2024/6/1, 100, 67
2024/6/2, 106, 67
2024/6/3, 106, 
2024/6/11, 126, 
2024/6/14, 141, 
2024/6/16, 123, 51
2024/6/17, 104, 51
2024/6/18, 110, 52
2024/6/19, 89, 36
2024/6/20, 68, 35
2024/6/21, 66, 41
2024/6/22, 75, 38
2024/6/23, 72, 43
2024/6/24, 68, 49
2024/6/25, 86, 32
2024/6/26, 70, 40
2024/6/27, 73, 20
2024/6/28, 50, 21
2024/6/29, 42, 28
2024/6/30, 65, 20
2024/1/1, 150, 82
2024/1/2, 139, 72
2024/1/3, 132, 79
2024/1/4, 132, 79
2024/1/5, 129, 81
2024/1/6, 139, 87
2024/1/7, 147, 86
2024/1/8, 140, 89
2024/1/9, 149, 86
2024/1/10, 131, 80
2024/1/11, 135, 79
2024/1/12, 145, 88
2024/1/13, 149, 97
2024/1/14, 149, 78
2024/1/15, 140, 74
2024/1/16, 132, 56
2024/1/17, 114, 73
2024/1/18, 124, 73
2024/1/19, 136, 75
2024/1/20, 146, 79
2024/1/21, 138, 79
2024/1/22, 140, 79
2024/1/23, 142, 72
2024/1/24, 142, 74
2024/1/25, 141, 79
2024/1/26, 139, 76
2024/1/27, 141, 88
2024/1/28, 151, 86
2024/1/29, 155, 89
2024/1/30, 158, 83
2024/1/31, 157, 81
2024/2/1, 163, 67
2024/2/2, 125, 73
2024/2/3, 132, 76
2024/2/4, 157, 80
2024/2/5, 141, 71
2024/2/6, 127, 72
2024/2/7, 123, 86
2024/2/8, 130, 77
2024/2/9, 154, 92
2024/2/10, 152, 81
2024/2/11, 139, 80
2024/2/12, 138, 85
2024/2/13, 141, 98
2024/2/14, 153, 82
2024/2/15, 135, 80
2024/2/16, 134, 75
2024/2/17, 151, 88
2024/2/18, 155, 115
2024/2/19, 160, 107
2024/2/20, 146, 101
2024/2/21, 140, 68
2024/2/22, 115, 63
2024/2/23, 112, 61
2024/2/24, 114, 72
2024/2/25, 124, 80
2024/2/26, 133, 105
2024/2/27, 137, 118
2024/2/28, 134, 75
2024/2/29, 136, 80
2024/3/1, 151, 96
2024/3/2, 151, 49
2024/3/3, 113, 45
2024/3/4, 82, 75
2024/3/5, 100, 86
2024/3/6, 100, 95
2024/3/7, 119, 
2024/3/10, 153, 101
2024/3/11, 159, 93
2024/3/12, 144, 104
2024/3/13, 135, 110
2024/3/14, 131, 103
2024/3/15, 125, 111
2024/3/16, 131, 120
2024/3/17, 142, 120
2024/3/18, 157, 137
2024/3/19, 150, 88
2024/3/20, 160, 75
2024/3/21, 160, 70
2024/3/22, 130, 48
2024/3/23, 111, 58
2024/3/24, 140, 63
2024/3/25, 116, 64
2024/3/26, 139, 64
2024/3/27, 146, 48
2024/3/28, 119, 69
2024/3/29, 133, 61
2024/3/30, 116, 60
2024/3/31, 92, 74
2023/10/3, 40, 16
2023/10/4, 51, 27
2023/10/5, 44, 27
2023/10/6, 56, 38
2023/10/7, 66, 62
2023/10/8, 107, 81
2023/10/9, 145, 81
2023/10/10, 155, 109
2023/10/11, 158, 73
2023/10/12, 135, 65
2023/10/13, 128, 73
2023/10/14, 127, 77
2023/10/15, 128, 74
2023/10/16, 147, 54
2023/10/17, 97, 57
2023/10/18, 100, 48
2023/10/19, 86, 51
2023/10/20, 86, 55
2023/10/21, 95, 48
2023/10/22, 95, 45
2023/10/23, 96, 40
2023/10/24, 86, 38
2023/10/25, 81, 34
2023/10/26, 74, 37
2023/10/27, 79, 38
2023/10/28, 81, 53
2023/10/29, 108, 58
2023/10/30, 112, 52
2023/10/31, 99, 59
2023/11/1, 120, 48
2023/11/2, 100, 40
2023/11/3, 87, 46
2023/11/4, 100, 54
2023/11/5, 113, 67
2023/11/6, 153, 64
2023/11/7, 139, 52
2023/11/8, 112, 69
2023/11/9, 127, 60
2023/11/10, 133, 63
2023/11/11, 142, 60
2023/11/12, 137, 54
2023/11/13, 134, 53
2023/11/14, 125, 49
2023/11/15, 110, 43
2023/11/16, 104, 41
2023/11/17, 96, 33
2023/11/18, 75, 44
2023/11/19, 94, 42
2023/11/20, 93, 42
2023/11/21, 97, 45
2023/11/22, 100, 53
2023/11/23, 120, 50
2023/11/24, 116, 51
2023/11/25, 120, 55
2023/11/26, 128, 55
2023/11/27, 123, 54
2023/11/28, 114, 51
2023/11/29, 116, 54
2023/11/30, 128, 50
2023/12/1, 117, 44
2023/12/2, 101, 66
2023/12/3, 107, 61
2023/12/4, 134, 61
2023/12/5, 128, 47
2023/12/6, 118, 70
2023/12/7, 159, 59
2023/12/8, 138, 46
2023/12/9, 117, 45
2023/12/10, 114, 49
2023/12/11, 129, 45
2023/12/12, 119, 44
2023/12/13, 112, 45
2023/12/14, 118, 52
2023/12/15, 131, 55
2023/12/16, 141, 53
2023/12/17, 134, 50
2023/12/18, 121, 33
2023/12/19, 96, 
2023/12/24, 134, 78
2023/12/25, 134, 81
2023/12/26, 139, 68
2023/12/27, 126, 78
2023/12/28, 132, 79
2023/12/29, 139, 86
2023/12/30, 140, 79
2023/12/31, 145, 78
2023/7/1, 26, 
2023/7/2, 34, 
2023/7/3, 24, 19
2023/7/4, 39, 20
2023/7/5, 64, 17
2023/7/6, 58, 12
2023/7/7, 41, 10
2023/7/8, 33, 7
2023/7/9, 27, 5
2023/7/10, 19, 4
2023/7/11, 17, 3
2023/7/12, 13, 1
2023/7/13, 5, 2
2023/7/14, 8, 1
2023/7/15, 3, 1
2023/7/16, 2, 1
2023/7/17, 1, 1
2023/7/18, 1, 1
2023/7/19, 1, 1
2023/7/20, 1, 1
2023/7/21, 1, 
